"PERSON";"REG_ADDR_KOATUU";"OPER_CODE";"OPER_NAME";"D_REG";"DEP_CODE";"DEP";"BRAND";"MODEL";"VIN";"MAKE_YEAR";"COLOR";"KIND";"BODY";"PURPOSE";"FUEL";"CAPACITY";"OWN_WEIGHT";"TOTAL_WEIGHT";"N_REG_NEW"
"P";"7322582501";"408";"ПЕРЕРЕЄСТРАЦІЯ ПРИ ПЕРЕОБЛАДНАННІ БЕЗ ЗАМІНИ НОМЕРНИХ АГРЕГАТІВ";01.07.2022;12389;"ТСЦ 7342";"MAN";"18.284";"WMAM40ZZ75Y137021";2004;"СИНІЙ";"ВАНТАЖНИЙ";"ПЛАТФОРМА ТЕНТОВАНА";"ЗАГАЛЬНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";6871;7300;18000;"СЕ6639ВА"
"P";"1825483902";"254";"НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ";06.11.2022;10000;"OLD_ДДАІ МВС УКРАЇНИ";"MERCEDES-BENZ";"311CDI";"WDB9036631R388807";2002;"КОРИЧНЕВИЙ";"ВАНТАЖНИЙ";"ФУРГОН МАЛОТОНАЖНИЙ";"СПЕЦІАЛІЗОВАНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";2148;2145;3500;"АМ4457ВХ"
"P";"4810136600";"250";"ВИДАЧА ТИМЧАСОВОГО РЕЄСТР ТАЛОНУ ПО ДОРУЧЕННЮ ЧИ ІНШОГО ДОКУМ.ПРАВОКОРИСТУВАННЯ ";17.08.2022;12315;"ТСЦ 4841";"MERCEDES-BENZ";"311CDI";"WDB9036632R604260";2004;"ЖОВТИЙ";"АВТОБУС";"АВТОБУС";"ЗАГАЛЬНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";2151;2080;3500;"ВЕ9993АА"
"P";"7424787501";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";29.09.2022;12383;"ТСЦ 7441";"HONDA";"CR-V";"SHSRD88806U420978";2006;"ЧОРНИЙ";"ЛЕГКОВИЙ";"УНІВЕРСАЛ";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";1998;1253;1591;"СВ9319ЕН"
"P";"3524010100";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";13.04.2022;12394;"ТСЦ 3544";"CHEVROLET";"LACETTI";"KL1NF1961CK689967";2012;"БІЛИЙ";"ЛЕГКОВИЙ";"СЕДАН";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";1598;1585;2065;"ВА9374ЕО"
"P";"4821455100";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";07.09.2022;12318;"ТСЦ 4844";"KIA";"CERATO";"Y6LFE22729L203080";2008;"БІЛИЙ";"ЛЕГКОВИЙ";"СЕДАН";"ЗАГАЛЬНИЙ";"БЕНЗИН";1591;1290;1740;"ВЕ8519ЕО"
"J";"0523410100";"308";"ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ)";16.11.2022;12229;"ТСЦ 0541";"MERCEDES-BENZ";"313 CDI";"WDB9036631R517170";2003;"БІЛИЙ";"АВТОБУС";"АВТОБУС";"ЗАГАЛЬНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";2148;2160;3500;"АВ1040ЕТ"
"P";"8039100000";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";12.10.2022;12288;"ТСЦ 3249";"RENAULT";"LOGAN";"VF1LSRAAH47786023";2012;"БІЛИЙ";"ЛЕГКОВИЙ";"СЕДАН";"ЗАГАЛЬНИЙ";"БЕНЗИН";1390;975;1450;"АІ0415ОТ"
"P";"3210600000";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";08.01.2022;12282;"ТСЦ 3243";"FORD";"FOCUS";"WF0KXXGCBKCA35362";2012;"ЧЕРВОНИЙ";"ЛЕГКОВИЙ";"ХЕТЧБЕК";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";1596;1490;1825;"АІ2435ОЕ"
"P";"0523484001";"308";"ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ)";08.02.2022;12229;"ТСЦ 0541";"MERCEDES-BENZ";"312D";"WDB9034631P857096";1999;"ЖОВТИЙ";"АВТОБУС";"АВТОБУС";"ЗАГАЛЬНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";2874;2490;3500;"АВ7182ІК"
"P";"5910100000";"254";"НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ";06.09.2022;10000;"OLD_ДДАІ МВС УКРАЇНИ";"ВАЗ";"217030";"XTA217030C0355285";2012;"ЧЕРВОНИЙ";"ЛЕГКОВИЙ";"СЕДАН";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";1596;1092;1578;"ВМ8052ЕА"
"P";"3222485801";"308";"ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ)";02.12.2022;12296;"ТСЦ 8047";"VOLKSWAGEN";"TOUAREG";"WVGZZZ7LZ8Z001046";2008;"ЧОРНИЙ";"ЛЕГКОВИЙ";"УНІВЕРСАЛ";"ЗАГАЛЬНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";2967;2380;2945;"КА4058ІК"
"P";"6310138800";"308";"ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ)";01.12.2022;12292;"ТСЦ 8043";"PEUGEOT";"107";"VF3PNCFB0CR009767";2012;"ЧОРНИЙ";"ЛЕГКОВИЙ";"ХЕТЧБЕК";"ЗАГАЛЬНИЙ";"БЕНЗИН";998;840;1190;"КА4566КН"
"P";"3210300000";"308";"ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ)";15.02.2022;12281;"ТСЦ 3242";"CITROEN";"BERLINGO";"VF7GBKFWC94223519";2006;"БІЛИЙ";"ВАНТАЖНИЙ";"ФУРГОН";"СПЕЦІАЛІЗОВАНИЙ";"БЕНЗИН";1360;1130;1655;"АІ1878ОО"
"P";"3222486001";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";26.06.2022;12295;"ТСЦ 8046";"SKODA";"SUPERB";"TMBJE43T1DB300062";2012;"БЕЖЕВИЙ";"ЛЕГКОВИЙ";"УНІВЕРСАЛ";"ЗАГАЛЬНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";1968;1517;2080;"КА5880НВ"
"P";"1210100000";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";29.12.2022;12241;"ТСЦ 1242";"SKODA";"OCTAVIA";"TMBBL41U148737496";2004;"СІРИЙ";"ЛЕГКОВИЙ";"ХЕТЧБЕК";"ЗАГАЛЬНИЙ";"БЕНЗИН";1800;1350;1850;"АЕ5626ХВ"
"P";"5310100000";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";08.11.2022;12295;"ТСЦ 8046";"SKODA";"OCTAVIA A5";"TMBCK41Z3CB157378";2012;"БЕЖЕВИЙ";"ЛЕГКОВИЙ";"СЕДАН";"ЗАГАЛЬНИЙ";"БЕНЗИН";1798;1325;1985;"КА4722ІК"
"P";"0722883703";"308";"ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ)";03.08.2022;12235;"ТСЦ 0741";"MERCEDES-BENZ";"ML 350";"WDC1660241A106504";2012;"ЧОРНИЙ";"ЛЕГКОВИЙ";"УНІВЕРСАЛ";"ЗАГАЛЬНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";2987;2345;3050;"АС1129НЕ"
"P";"0510100000";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";21.10.2022;12295;"ТСЦ 8046";"MITSUBISHI";"LANCER";"JMBSRCY1ACU005004";2012;"ЧОРНИЙ";"ЛЕГКОВИЙ";"СЕДАН";"ЗАГАЛЬНИЙ";"БЕНЗИН";1590;1275;1750;"КА8510ІВ"
"J";"6820984001";"308";"ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ)";28.12.2022;12371;"ТСЦ 6841";"МАЗ";"551608-236";"Y3M551608C0000639";2012;"БІЛИЙ";"ВАНТАЖНИЙ";"САМОСКИД";"СПЕЦІАЛІЗОВАНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";14860;14000;33000;"ВХ8613НК"
"P";"0510300000";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";15.09.2022;12230;"ТСЦ 0542";"MERCEDES-BENZ";"E 200";"WDB2100351A035042";1995;"СІРИЙ";"ЛЕГКОВИЙ";"СЕДАН";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";1998;1565;1940;"АВ5061ІХ"
"P";"4810100000";"308";"ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ)";17.11.2022;12321;"ТСЦ 5141";"MERCEDES-BENZ";"VITO 115 CDI";"WDF63960313146168";2005;"СИНІЙ";"ЛЕГКОВИЙ";"ПАСАЖИРСЬКИЙ";"ЗАГАЛЬНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";2148;1840;2940;"ВН7584ТС"
"P";"1822083201";"308";"ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ)";23.12.2022;12254;"ТСЦ 1841";"VOLKSWAGEN";"CADDY";"WV1ZZZ2KZ5X011237";2004;"ЧОРНИЙ";"ЛЕГКОВИЙ";"ВАНТАЖОПАСАЖИРСЬКИЙ";"ЗАГАЛЬНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";1968;1080;1730;"АМ0986НН"
"P";"3210300000";"308";"ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ)";12.01.2022;12293;"ТСЦ 8044";"VOLKSWAGEN";"LT 35";"WV1ZZZ2DZXH028969";1999;"БІЛИЙ";"ВАНТАЖНИЙ";"ФУРГОН";"СПЕЦІАЛІЗОВАНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";2461;1850;3500;"КА7355ЕХ"
"P";"7410700000";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";04.08.2022;12384;"ТСЦ 7442";"ЗАЗ";"LANOS";"Y6DTF69Y0C0309280";2012;"СІРИЙ";"ЛЕГКОВИЙ";"СЕДАН";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";1498;1096;1595;"СВ3219ЕН"
"P";"4610137500";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";22.12.2022;12307;"ТСЦ  4641";"KIA";"CERATO 1.6D 5MT2";"Y6LFE22628L014150";2008;"БЕЖЕВИЙ";"ЛЕГКОВИЙ";"СЕДАН";"ЗАГАЛЬНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";1599;970;1445;"ВС0461РО"
"P";"0722885201";"308";"ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ)";15.01.2022;12235;"ТСЦ 0741";"VOLKSWAGEN";"CADDY";"WV1ZZZ2KZ5X104966";2005;"ЖОВТИЙ";"ЛЕГКОВИЙ";"ПАСАЖИРСЬКИЙ";"ЗАГАЛЬНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";1968;1455;2205;"АС8640НА"
"J";"7423084001";"350";"ПЕРЕРЕЄСТРАЦIЯ У ЗВ`ЯЗКУ ЗI ЗМIНОЮ НАЗВИ ОРГАНIЗАЦIЇ";12.01.2022;12386;"ТСЦ 7444";"VOLKSWAGEN";"CADDY";"WV1ZZZ2KZ6X023771";2005;"СІРИЙ";"ЛЕГКОВИЙ";"ПАСАЖИРСЬКИЙ";"ЗАГАЛЬНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";1896;1375;2085;"СВ2456ВА"
